time,density1,density2,density3,density4,density5,density6,density7
1470.000000, 11.494253, 9.316770, 3.663004, 3.460208, 14.388489, 7.656968, 14.876033
1485.000000, 11.494253, 12.422360, 3.663004, 0.000000, 0.000000, 10.719755, 6.611570
1500.000000, 0.000000, 9.316770, 7.326007, 0.000000, 0.000000, 12.251149, 11.570248
1515.000000, 0.000000, 6.211180, 10.989011, 0.000000, 0.000000, 13.782542, 4.958678
1530.000000, 0.000000, 6.211180, 14.652015, 0.000000, 14.388489, 15.313936, 0.000000
1545.000000, 11.494253, 0.000000, 7.326007, 3.460208, 28.776978, 12.251149, 0.000000
1560.000000, 0.000000, 6.211180, 7.326007, 6.920415, 35.971223, 12.251149, 1.652893
1575.000000, 0.000000, 9.316770, 7.326007, 0.000000, 7.194245, 9.188361, 9.917355
1590.000000, 11.494253, 9.316770, 3.663004, 6.920415, 0.000000, 15.313936, 9.917355
1605.000000, 0.000000, 9.316770, 7.326007, 10.380623, 0.000000, 7.656968, 4.958678
1620.000000, 0.000000, 3.105590, 18.315018, 6.920415, 14.388489, 1.531394, 14.876033
1635.000000, 0.000000, 3.105590, 18.315018, 6.920415, 0.000000, 4.594181, 8.264463
1650.000000, 0.000000, 9.316770, 7.326007, 13.840830, 14.388489, 6.125574, 3.305785
1665.000000, 0.000000, 6.211180, 0.000000, 6.920415, 21.582734, 3.062787, 4.958678
1680.000000, 22.988506, 6.211180, 0.000000, 0.000000, 35.971223, 3.062787, 3.305785
1695.000000, 22.988506, 9.316770, 0.000000, 0.000000, 35.971223, 4.594181, 1.652893
1710.000000, 0.000000, 12.422360, 10.989011, 0.000000, 28.776978, 4.594181, 0.000000
1725.000000, 0.000000, 9.316770, 21.978022, 0.000000, 0.000000, 10.719755, 6.611570
1740.000000, 0.000000, 3.105590, 10.989011, 3.460208, 0.000000, 18.376723, 4.958678
1755.000000, 0.000000, 6.211180, 7.326007, 13.840830, 7.194245, 13.782542, 8.264463
1770.000000, 0.000000, 12.422360, 3.663004, 3.460208, 7.194245, 9.188361, 14.876033
